source,targetid,targetname,evidencecount,projections,connectivitystrength,certainty,hierarchy
10,0,V1,1,bidirectional,moderate,certain,lower
10,1,V2,2,bidirectional,moderate,conflicting,lower
10,3,V3,2,bidirectional,moderate,conflicting,lower
10,4,V3A/B,3,bidirectional,moderate,certain,lower
10,5,V7,2,bidirectional,moderate,certain,unknown
10,6,V4,3,bidirectional,moderate,conflicting,lower
10,7,V4t,2,bidirectional,moderate,certain,lower
10,8,MT,3,bidirectional,moderate,certain,lower
10,9,MST,3,bidirectional,moderate,certain,equal
10,11,LO1,3,bidirectional,moderate,certain,unknown
10,12,LO2,3,bidirectional,moderate,certain,unknown
10,13,LO3,3,bidirectional,moderate,certain,unknown
10,14,PIT,2,bidirectional,moderate,certain,equal
10,15,V8,1,bidirectional,moderate,conflicting,unknown
10,16,VMV,1,bidirectional,strong,conflicting,higher
10,17,VVC,1,bidirectional,moderate,conflicting,higher
10,18,PH,3,bidirectional,moderate,certain,higher
10,19,PHT,3,bidirectional,moderate,certain,higher
10,20,FFC,2,bidirectional,moderate,certain,higher
10,21,STSp,1,bidirectional,moderate,certain,unknown
10,22,TE1p,1,bidirectional,strong,conflicting,higher
10,23,TE2p,3,bidirectional,moderate,certain,higher
10,24,TE1m,1,bidirectional,strong,conflicting,higher
10,25,STSa,1,bidirectional,moderate,certain,higher
10,26,TE1a,1,bidirectional,strong,conflicting,higher
10,27,TE2a,1,bidirectional,strong,conflicting,higher
10,29,TG,1,bidirectional,moderate,conflicting,higher
10,30,insula,2,bidirectional,moderate,conflicting,higher
10,31,aud,2,bidirectional,moderate,conflicting,equal
10,32,TPOJ1,1,bidirectional,weak,certain,higher
10,33,TPOJ2,2,bidirectional,moderate,certain,higher
10,34,TPOJ3,1,bidirectional,moderate,conflicting,higher
10,35,PFm,2,bidirectional,moderate,conflicting,equal
10,36,PFop,2,bidirectional,moderate,certain,equal
10,37,op,1,bidirectional,strong,conflicting,higher
10,38,IPS0/1,2,bidirectional,moderate,conflicting,unknown
10,39,LIP,3,bidirectional,moderate,certain,equal
10,40,AIP,3,bidirectional,weak,certain,higher
10,41,VIP,3,bidirectional,moderate,certain,equal
10,42,MIP,1,bidirectional,weak,certain,equal
10,43,BA1/2,3,bidirectional,moderate,certain,equal
10,44,3a/3b,2,bidirectional,moderate,conflicting,equal
10,45,M1,2,bidirectional,moderate,conflicting,higher
10,46,55b,1,bidirectional,moderate,conflicting,higher
10,47,FEF,3,bidirectional,moderate,certain,higher
10,48,SEF,1,bidirectional,moderate,conflicting,higher
10,49,PMd,2,bidirectional,moderate,conflicting,higher
10,50,PMv,2,bidirectional,moderate,conflicting,higher
10,51,44,1,bidirectional,moderate,certain,inferred from functional complexity of abstract reasoning and language
10,53,8,1,bidirectional,moderate,certain,higher
10,54,V6,2,bidirectional,moderate,conflicting,lower
10,55,7,2,bidirectional,moderate,certain,higher
10,56,BA23,2,bidirectional,moderate,conflicting,higher
10,58,precuneus,2,bidirectional,moderate,certain,higher
10,59,RSC,1,bidirectional,weak,conflicting,higher
10,60,mPFC,1,bidirectional,strong,conflicting,higher
10,61,PreSMA,2,bidirectional,moderate,conflicting,higher
