Main,Affiliate,wake_state,study_type,bihemispheric_effects_on_main,1_main_to_affiliate_projection,1_main_to_affiliate_projection_strength,1_main_to_affiliate_ref,2_affiliate_to_main_projection,2_affiliate_to_main_projection_strength,2_affiliate_to_main_ref,hierarchichy_level_rel_to_main,hierarchy_evidence,hierarchichal_ref,ROI_label_consistent,Other comments
FST,V1,awake,DTI tractography,NR,moderate,,Rua25,moderate,,Rua25,lower,meta-analysis constraints from macaque,Fel91,Yes,Indirect measure
FST,V2,awake,rs-fMRI,NR,absent,,Rol23,absent,,Rol23,lower,meta-analysis constraints from macaque,Fel91,Yes,Indirect measure of effective connectivity
FST,V2,awake,DTI tractography,NR,moderate,,Rua25,moderate,,Rua25,lower,meta-analysis constraints from macaque,Fel91,Yes,Indirect measure
FST,V2,awake,rs-fMRI,NR,present,,Bak18,present,,Bak18,lower,meta-analysis constraints from macaque,Fel91,Yes,Indirect functional measure
FST,V3,awake,rs-fMRI,NR,absent,,Rol23,absent,,Rol23,lower,meta-analysis constraints from macaque,Fel91,Yes,Indirect measure of effective connectivity
FST,V3,awake,DTI tractography,NR,strong,,Rua25,strong,,Rua25,lower,meta-analysis constraints from macaque,Fel91,Yes,Indirect measure
FST,V3,awake,rs-fMRI,NR,present,,Bak18,present,,Bak18,lower,meta-analysis constraints from macaque,Fel91,Yes,Indirect functional measure
FST,V3A/B,awake,rs-fMRI,NR,weak,,Rol23,weak,,Rol23,lower,meta-analysis constraints from macaque,Fel91,Yes,Indirect measure of effective connectivity. Includes V3CD
FST,V3A/B,awake,rs-fMRI,NR,present,,Bak18,present,,Bak18,lower,meta-analysis constraints from macaque,Fel91,Yes,Indirect functional measure- also includes V3cd
FST,V3A/B,awake,DTI tractography,NR,strong,,Rua25,strong,,Rua25,lower,meta-analysis constraints from macaque,Fel91,Yes,Indirect measure
FST,V4,awake,rs-fMRI,NR,absent,,Rol23,absent,,Rol23,lower,meta-analysis constraints from macaque,Fel91,Yes,Indirect measure of effective connectivity
FST,V4,awake,DTI tractography,NR,present,,Bak18,present,,Bak18,lower,meta-analysis constraints from macaque,Fel91,Yes,Indirect measure
FST,V4,awake,rs-fMRI,NR,present,,Bak18,present,,Bak18,lower,meta-analysis constraints from macaque,Fel91,Yes,Indirect functional measure
FST,V4,awake,DTI tractography,NR,strong,,Rua25,strong,,Rua25,lower,meta-analysis constraints from macaque,Fel91,Yes,Indirect measure
FST,V6,awake,rs-fMRI,NR,absent,,Rol23,absent,,Rol23,lower,inferred from macaque content in Pitzalis 2013,NONE,Yes,Indirect measure of effective connectivity in V6 / V6A
