source,targetid,targetname,evidencecount,projections,connectivitystrength,certainty,hierarchy
9,0,V1,3,bidirectional,strong,conflicting,lower
9,1,V2,2,bidirectional,moderate,conflicting,lower
9,2,V3,2,bidirectional,strong,certain,lower
9,3,V3A,2,bidirectional,moderate,certain,lower
9,4,V4,6,bidirectional,moderate,certain,lower
9,5,VOT/TEO,1,mainsend,strong,certain,lower
9,6,V4t,1,bidirectional,moderate,certain,lower
9,7,MT,2,bidirectional,strong,certain,lower
9,8,MSTl,1,bidirectional,moderate,certain,equal
9,10,PITv,2,bidirectional,strong,certain,equal
9,11,PITd,3,bidirectional,strong,certain,equal
9,12,CITd,3,bidirectional,moderate,certain,higher
9,13,CITv,2,bidirectional,strong,certain,higher
9,14,AITd,2,bidirectional,moderate,certain,higher
9,15,AITv,1,bidirectional,strong,certain,higher
9,16,STPp,2,bidirectional,moderate,certain,higher
9,17,STPa,2,mainsend,moderate,certain,higher
9,18,STGp,1,bidirectional,weak,certain,higher
9,19,STGa,1,mainsend,moderate,certain,higher
9,20,insula,1,bidirectional,moderate,certain,higher
9,21,MSTd,1,bidirectional,moderate,certain,equal
9,22,DP,2,mainsend,strong,certain,lower
9,23,7a,4,bidirectional,moderate,certain,higher
9,25,PF,1,bidirectional,weak,certain,equal
9,26,AIP,1,bidirectional,weak,certain,higher
9,27,LIP,2,bidirectional,moderate,certain,equal
9,28,VIP,2,bidirectional,moderate,certain,equal
9,30,S1,1,bidirectional,weak,certain,equal
9,32,FEF,3,bidirectional,moderate,certain,higher
9,33,SEF,1,mainsend,moderate,certain,higher
9,34,DLPFC,1,mainsend,weak,certain,higher
9,35,VLPFC,1,bidirectional,weak,certain,higher
9,36,M1/F1,1,bidirectional,weak,certain,higher
9,37,PMd,2,bidirectional,moderate,certain,higher
9,38,PMv,1,bidirectional,weak,certain,higher
9,40,TG,1,bidirectional,weak,certain,higher
9,41,TF,1,bidirectional,moderate,certain,higher
9,42,V6,1,bidirectional,weak,certain,lower
9,46,RSC,1,bidirectional,moderate,certain,higher
9,47,PCCa,1,bidirectional,weak,certain,higher
9,48,PCCp,1,bidirectional,weak,certain,higher
9,49,thalamus,1,bidirectional,moderate,certain,na
9,50,claustrum,1,bidirectional,moderate,certain,na
9,51,striatum,1,mainsend,moderate,certain,na
9,52,basalfore,1,mainreceive,moderate,certain,na
9,53,pretectum,1,mainsend,moderate,certain,na
9,54,SC,3,mainreceive,moderate,certain,na
9,55,pons,1,mainsend,moderate,certain,na
