Main,Affiliate,study_type,bihemispheric_effects_on_main,1_main_to_affiliate_projection,1_main_to_affiliate_projection_strength,1_main_to_affiliate_ref,2_affiliate_to_main_projection,2_affiliate_to_main_projection_strength,2_affiliate_to_main_ref,hierarchichy_level_rel_to_main,hierarchy_evidence,hierarchichal_ref,ROI_label_consistent,Other comments,,,,,
FST,V1,tracer,,absent,,Bou90,absent,,Bou90,lower,meta-analysis constraints,Fel91,Yes,,,,,,
FST,V2,tracer,,absent,,Bou90,absent,Weak and inconsistent results but one light signal for retro tracer in FST lights up V2 and end in supragranular layers (negligible) suggesting V2 might be feeding forward to FST,Bou90,lower,meta-analysis constraints,Fel91,Yes,,,,,,
FST,V3,tracer,,weak,weak anterograde signals from FST to V3d that ends avoiding layer 4 indicating feedback,Bou90,tentative,Weak and inconsistent retrograde label in V3d upon FST injection to supragranular layers indicating possible feedback to V3d,Bou90,lower,laminar termination,Bou90,No- V3d,,,,,,
FST,V3A,tracer,,weak,weak and inconsistent anterograde signals from FST to V3A that ends avoiding layer 4 indicating feedback,Bou90,weak,Weak retrograde found in V3A supragrandular layers supporting V3A is feedforward signals to FST ,Bou90,lower,laminar termination,Bou90,Yes,,,,,,
FST,V4,tracer,,present,Strong,Ung08,present,Strong,Ung08,lower,laminar termination,Ung08,Yes,"V4 connections with FST were dominated by central visual field representations. Within FST, the cells showed a variable distribution; however, the terminals demonstrated mainly a feedforward projection from V4, in agreement with a prior finding that V4 receives a feedback projection from FST",,,,,
FST,V4,tracer,,present,,Bou90,present,,Bou90,,,,,,,,,,
FST,VOT,,,,,,,,,,,,,,,,,,
FST,V4t,tracer,,present,,Bou90,present,,Bou90,,,,,,,,,,
FST,MT,tracer,,present,,Bou90,present,,Bou90,,,,,,,,,,
FST,MSTm/v,,,,,,,,,,,,,,,,,,
FST,PITv,,,,,,,,,,,,,,,,,,
FST,PITd,,,,,,,,,,,,,,,,,,
FST,CITd,,,,,,,,,,,,,,,,,,
FST,CITv,,,,,,,,,,,,,,,,,,
FST,AITd,tracer,,present,,Bou90,present,,Bou90,,,,No- TEa,,,,,,
FST,AITv,,,,,,,,,,,,,,,,,,
FST,STPp,tracer,,present,,Bou90,present,,Bou90,,,,No- TPO and Pga,,,,,,
FST,STPa,tracer,,present,,Bou90,present,,Bou90,,,,No- Ipa,,,,,,
FST,insula,,,,,,,,,,,,,,,,,,
FST,MSTd,,,,,,,,,,,,,,,,,,
FST,DP,tracer,,absent,,Bou90,absent,,Bou90,,,,,,,,,,
FST,DP,tracer,NR,,,,tentative,concentrated in FST layer 4 after large injection of anterograde tracer in DP,And90,higher,laminar termination,And90,Yes,Laminar data consistent with hierarchy in Fel91,,,,,
FST,7a,tracer,NR,present,extensive retrograde tracer in FST for 7a injection,And90,present,extensive anterograde tracer in FST for 7a injection,And90,higher,meta-analysis constraints,Fel91,Yes,And90 had no comments on 7a to FST regarding laminar,,,,,
FST,7a,tracer,,absent,,,,,,,,,No- PP,,,,,,
FST,VIP,,,,,,,,,,,,,,,,,,
FST,MIP,,,,,,,,,,,,,,,,,,
FST,FEF,tracer,,present,extensive forward projections and unlike MST includes 8a and 45,Bou90,present,extensive backward projections,Bou90,,,,,,,,,,
FST,46,,,,,,,,,,,,,,,,,,
FST,M1/F1,,,,,,,,,,,,,,,,,,
FST,PMd,,,,,,,,,,,,,,,,,,
