Main,Affiliate,wake_state,study_type,bihemispheric_effects_on_main,1_main_to_affiliate_projection,1_main_to_affiliate_projection_strength,1_main_to_affiliate_ref,2_affiliate_to_main_projection,2_affiliate_to_main_projection_strength,2_affiliate_to_main_ref,hierarchichy_level_rel_to_main,hierarchy_evidence,hierarchichal_ref,ROI_label_consistent,Other comments
FST,V1,anesthetized,DTI tractography,NR,strong,,Rua25,strong,,,lower,meta-analysis constraints,Fel91,Yes,Indirect measure
FST,V1,anesthetized,tracer,NR,strong,retrograde from V1 injections indicating projections to V1 but no layer data reported,Mark14,,,,lower,meta-analysis constraints,Fel91,Yes,
FST,V1,anesthetized,tracer,NR,,,,weak,retrograde tracer in infragranular only (V/VI) suggesting feedbqck to FST,Bar00,lower,laminar and meta-analysis constraints,Bar00,Yes,
FST,V1,anesthetized,tracer,NF,absent,,Bou90,absent,,Bou90,lower,meta-analysis constraints,Fel91,Yes,
FST,V2,anesthetized,DTI tractography,NR,moderate,,Rua25,moderate,,,lower,meta-analysis constraints,Fel91,Yes,Indirect measure
FST,V2,anesthetized,tracer,NR,moderate,retrograde from V2 injections indicating projections to V2 but no layer data reported,Mark14,,,,lower,meta-analysis constraints,Fel91,Yes,
FST,V2,anesthetized,tracer,NF,absent,,Bou90,absent,Weak and inconsistent results but one light signal for retro tracer in FST lights up V2 and end in supragranular layers (negligible) suggesting V2 might be feeding forward to FST,Bou90,lower,meta-analysis constraints,Fel91,Yes,
FST,V3,anesthetized,DTI tractography,NR,strong,,Rua25,strong,,,lower,meta-analysis constraints,Fel91,Yes,Indirect measure
FST,V3,anesthetized,tracer,NF,weak,weak anterograde signals from FST to V3d that ends avoiding layer 4 indicating feedback,Bou90,tentative,Weak and inconsistent retrograde label in V3d upon FST injection to supragranular layers indicating possible feedback to V3d,Bou90,lower,laminar termination,Bou90,No- V3d,
FST,V3A,anesthetized,DTI tractography,NR,strong,,Rua25,strong,,,lower,meta-analysis constraints,Fel91,Yes,Indirect measure
FST,V3A,anesthetized,tracer,antero,weak,weak and inconsistent anterograde signals from FST to V3A that ends avoiding layer 4 indicating feedback,Bou90,weak,Weak retrograde found in V3A supragrandular layers supporting V3A is feedforward signals to FST ,Bou90,lower,laminar termination,Bou90,Yes,
FST,V4,anesthetized,DTI tractography,NR,strong,,Rua25,strong,,,lower,meta-analysis constraints,Fel91,Yes,Indirect measure
FST,V4,anesthetized,tracer,NR,strong,retrograde from V4 injections indicating projections to V4 but no layer data reported,Mark14,,,,lower,meta-analysis constraints,Fel91,Yes,
FST,V4,anesthetized,tracer,NR,present,Feedback projections to V4 based on retrograde tracers injected into V4,Fel97,,,,lower,laminar and meta-analysis constraints,Fel91 and Fel97,Yes,
FST,V4,anesthetized,tracer,NR,,,,moderate,retrograde tracer mainly in infragranular  (V/VI) layers mainly predominantly feedback from FST but also some supragranular (II and III layer neurons),Bar00,lower,laminar and meta-analysis constraints,Bar00,Yes,
FST,V4,anesthetized,tracer,,present,Strong,Ung08,present,Strong,Ung08,lower,laminar termination,Ung08,Yes,"V4 connections with FST were dominated by central visual field representations. Within FST, the cells showed a variable distribution; however, the terminals demonstrated mainly a feedforward projection from V4, in agreement with a prior finding that V4 receives a feedback projection from FST"
FST,V4,anesthetized,tracer,NF,weak,weak anterograde signal to V4 that temrinates avoiding layer 4 indicative of feedback,Bou90,moderate,Moderate retrograde signal stemming from supragranular layers of V4 likely as feedforward signals to FST,Bou90,lower,laminar termination,Bou90,Yes,
FST,VOT,anesthetized,tracer,NR,strong,retrograde from TEO injections indicating projections to TEO but no layer data reported,Mark14,,,,lower,meta-analysis constraints,Fel91,No- TEO,
FST,V4t,anesthetized,tracer,NF,weak,weak anterograde signal to V4t that temrinates avoiding layer 4 indicative of feedback,Bou90,moderate,moderate retrograde signal stemming from supra-ganular layers in V4t supporting this area forwards signals to FST,Bou90,lower,laminar termination,Bou90,Yes,
FST,MT,anesthetized,tracer,NR,strong,retrograde from MT injections indicating projections to MT but no layer data reported,Mark14,,,,lower,meta-analysis constraints,Fel91,Yes,
FST,MT,anesthetized,tracer,antero and retro,strong,strong anterograde signal to MT avoiding layer 4 supporting feedback,Bou90,strong,strong retrograde signals linked to supragranular and infragranular layers in MT suggesting MT forwards signals,Bou90,lower,laminar termination,Bou90,Yes,
FST,MSTl,anesthetized,tracer,antero and retro,moderate,moderate anterograde tracer that either avoids layer 4 (suggesting feedback) or intermixed (suggesting lateral),Bou90,moderate,moderate retrograde tracer from supra- and infra- granular layers of MST,Bou90,equal,weak evidence in laminar termination but found in meta-analysis constraints,Ung08 and Fel91,no- MST,Note that this is duplicated for MSTd bc they did not classify subdivisions for tracer injection
FST,PITv,anesthetized,tracer,NR,present,retrograde tracer injected into PITv found in FST but layer not reported,Fel97,,,,equal,meta-analysis constraints,Fel91,Yes,
