id,x,y,label,color,size,center_x,center_y,FSTcomments
0,2150,710,V1,red,5,0.00,0.35,testingCitation1
1,1895,670,V2,red,5,0.00,0.40,FSTcomments
2,1810,500,V3,red,5,0.00,0.47,FSTcomments
3,1900,380,V3A,red,5,0.05,0.50,FSTcomments
4,1670,760,V4,red,5,-0.025,0.60,FSTcomments
5,1550,935,VOT/TEO,pink,5,-0.05,0.65,FSTcomments
6,1575,690,V4t,pink,5,-0.025,0.70,FSTcomments
7,1540,580,MT,pink,5,0.025,0.70,FSTcomments
8,1450,500,MSTm/v,pink,5,0.025,0.80,FSTcomments
9,1400,670,FST, pink,5,-0.025,0.80,FSTcomments
10,1465,995,PITv,green,5,-0.12,0.90,FSTcomments
11,1400,850,PITd,green,5,-0.10,0.90,FSTcomments
12,1170,1050,CITd,green,5,-0.14,1.00,FSTcomments
13,1280,1200,CITv,green,5,-0.12,1.00,FSTcomments
14,950,1135,AITd,green,5,-0.16,1.10,FSTcomments
15,1080,1280,AITv,green,5,-0.14,1.10,FSTcomments
16,1150,730,STPp,green,5,-0.05,1.00,FSTcomments
17,860,970,STPa,green,5,-0.1,1.10,FSTcomments
18,920,850,STGa,green,5,-0.1,1.10,FSTcomments
19,600,850,insula,green,5,-0.08,1.15,FSTcomments
20,1550,400,MSTd,#B58863,5,0.05,0.85,FSTcomments
21,1680,200,DP,#B58863,5,0.07,0.85,FSTcomments
22,1480,230,7a,#B58863,5,0.06,0.9,FSTcomments
23,1280,300,7b,#B58863,5,0.06,0.9,FSTcomments
24,1480,140,LIP,#B58863,5,0.10,0.90,FSTcomments
25,1380,140,VIP,#B58863,5,0.12,0.90,FSTcomments
26,1450,80,MIP,#B58863,5,0.14,0.90,FSTcomments
27,1000,150,S1,#B58863,5,0.14,0.90,FSTcomments
28,1200,0,5,#B58863,5,0.14,0.90,FSTcomments
29,240,500,FEF,yellow,5,0.00,1.40,FSTcomments
30,240,300,SEF,yellow,5,0.00,1.40,FSTcomments
31,100,500,DLPFC,yellow,5,0.00,1.45,FSTcomments
32,700,300,M1/F1,yellow,5,0.02,1.20,FSTcomments
33,460,200,PMd,yellow,5,0.03,1.30,FSTcomments
34,500,500,PMv,yellow,5,0.015,1.30,FSTcomments
35,1850,170,PO,#B58863,5,0.06,0.9,FSTcomments
36,1350,1695,TF,green,5,0.06,0.9,FSTcomments
37,240,-1000,24c,gray,5,0.06,0.9,FSTcomments
38,1450,-995,7m,gray,5,0.06,0.9,FSTcomments
39,2700,1800,thalamus,gray,0,0,0,FSTcomments
40,2700,1900,claustrum,gray,0,0,0,FSTcomments
41,2700,2000,striatum,gray,0,0,0,FSTcomments
42,2700,2100,basalfore,gray,0,0,0,FSTcomments
43,3000,1900,pretectum,gray,0,0,0,FSTcomments
44,3000,2000,SC,gray,0,0,0,FSTcomments
45,3300,1950,pons,gray,0,0,0,FSTcomments
